Date;Hours;Consumption;Wind;Price
1.1.2014;00 - 01;1832;1787;113,01
1.1.2014;01 - 02;1757;1738;96,67
1.1.2014;02 - 03;1697;1685;90,18
1.1.2014;03 - 04;1666;1628;87,27
1.1.2014;04 - 05;1613;1567;86,97
1.1.2014;05 - 06;1608;1528;84,66
1.1.2014;06 - 07;1683;1495;73,47
1.1.2014;07 - 08;1766;1432;152,99
1.1.2014;08 - 09;1798;1335;189,46
1.1.2014;09 - 10;1875;1246;189,84
1.1.2014;10 - 11;2005;1179;183,72
1.1.2014;11 - 12;2069;1136;199,61
1.1.2014;12 - 13;2099;1090;200,43
1.1.2014;13 - 14;2107;1036;214,97
1.1.2014;14 - 15;2124;1007;216,76
1.1.2014;15 - 16;2108;1009;207,96
1.1.2014;16 - 17;2275;1016;239,51
1.1.2014;17 - 18;2468;1072;245,26
1.1.2014;18 - 19;2432;1153;240,34
1.1.2014;19 - 20;2283;1213;228,48
1.1.2014;20 - 21;2174;1317;213,63
1.1.2014;21 - 22;2048;1456;149,86
1.1.2014;22 - 23;1910;1593;112,63
1.1.2014;23 - 00;1753;1747;96,6
2.1.2014;00 - 01;1670;2348;57,14
2.1.2014;01 - 02;1596;2492;52,36
2.1.2014;02 - 03;1566;2605;14,32
2.1.2014;03 - 04;1594;2661;-0,37
2.1.2014;04 - 05;1660;2686;0,45
2.1.2014;05 - 06;1779;2692;52,66
2.1.2014;06 - 07;2117;2663;88,02
2.1.2014;07 - 08;2535;2600;158,96
2.1.2014;08 - 09;2704;2520;227,06
2.1.2014;09 - 10;2719;2423;228,48
2.1.2014;10 - 11;2759;2293;230,19
2.1.2014;11 - 12;2772;2156;231,53
2.1.2014;12 - 13;2767;2018;231,01
2.1.2014;13 - 14;2794;1883;231,53
2.1.2014;14 - 15;2727;1732;232,06
2.1.2014;15 - 16;2684;1574;234,29
2.1.2014;16 - 17;2778;1443;238,55
2.1.2014;17 - 18;3028;1344;240,71
2.1.2014;18 - 19;2915;1262;238,1
2.1.2014;19 - 20;2705;1166;234,59
2.1.2014;20 - 21;2495;1089;230,79
2.1.2014;21 - 22;2334;988;229,59
2.1.2014;22 - 23;2104;888;226,91
2.1.2014;23 - 00;1883;892;223,1
3.1.2014;00 - 01;1691;948;204,38
3.1.2014;01 - 02;1675;895;191,03
3.1.2014;02 - 03;1664;890;141,88
3.1.2014;03 - 04;1674;929;98,09
3.1.2014;04 - 05;1715;960;119,42
3.1.2014;05 - 06;1845;1064;192,67
3.1.2014;06 - 07;2139;1227;210,87
3.1.2014;07 - 08;2500;1409;236,16
3.1.2014;08 - 09;2652;1591;232,66
3.1.2014;09 - 10;2658;1751;232,58
3.1.2014;10 - 11;2719;1897;230,87
3.1.2014;11 - 12;2706;2022;230,57
3.1.2014;12 - 13;2662;2096;229,3
3.1.2014;13 - 14;2672;2151;228,48
3.1.2014;14 - 15;2623;2232;227,21
3.1.2014;15 - 16;2620;2307;226,99
3.1.2014;16 - 17;2743;2362;230,04
3.1.2014;17 - 18;2970;2385;231,39
3.1.2014;18 - 19;2852;2384;229,6
3.1.2014;19 - 20;2611;2368;226,24
3.1.2014;20 - 21;2396;2338;221,24
3.1.2014;21 - 22;2240;2317;196,33
3.1.2014;22 - 23;2116;2328;194,69
3.1.2014;23 - 00;1969;2360;87,05
4.1.2014;00 - 01;1863;2458;75,1
4.1.2014;01 - 02;1753;2484;73,39
4.1.2014;02 - 03;1687;2490;59,14
4.1.2014;03 - 04;1668;2473;39,01
4.1.2014;04 - 05;1686;2472;38,63
4.1.2014;05 - 06;1737;2464;66,82
4.1.2014;06 - 07;1838;2417;65,03
4.1.2014;07 - 08;2026;2305;134,09
4.1.2014;08 - 09;2219;2170;202,19
4.1.2014;09 - 10;2312;2022;214,12
4.1.2014;10 - 11;2357;1909;215,61
4.1.2014;11 - 12;2343;1832;216,8
4.1.2014;12 - 13;2269;1704;217,77
4.1.2014;13 - 14;2226;1525;217,77
4.1.2014;14 - 15;2205;1393;218,89
4.1.2014;15 - 16;2225;1410;221,35
4.1.2014;16 - 17;2459;1560;226,05
4.1.2014;17 - 18;2742;1695;228,66
4.1.2014;18 - 19;2670;1735;227,1
4.1.2014;19 - 20;2443;1742;223,22
4.1.2014;20 - 21;2255;1732;214,86
4.1.2014;21 - 22;2119;1677;213
4.1.2014;22 - 23;1981;1628;211,14
4.1.2014;23 - 00;1839;1592;165,87
5.1.2014;00 - 01;1712;1644;148,57
5.1.2014;01 - 02;1647;1575;109,86
5.1.2014;02 - 03;1602;1481;99,57
5.1.2014;03 - 04;1602;1356;81,74
5.1.2014;04 - 05;1616;1179;189,22
5.1.2014;05 - 06;1668;998;191,9
5.1.2014;06 - 07;1752;889;206,75
5.1.2014;07 - 08;1879;850;209,06
5.1.2014;08 - 09;2037;860;198,47
5.1.2014;09 - 10;2153;864;204,51
5.1.2014;10 - 11;2249;782;231,66
5.1.2014;11 - 12;2332;702;242,4
5.1.2014;12 - 13;2342;654;236,51
5.1.2014;13 - 14;2321;622;224,2
5.1.2014;14 - 15;2280;619;214,43
5.1.2014;15 - 16;2263;608;215,77
5.1.2014;16 - 17;2496;616;233,75
5.1.2014;17 - 18;2851;655;254,18
5.1.2014;18 - 19;2768;714;241,58
5.1.2014;19 - 20;2567;812;234,49
5.1.2014;20 - 21;2367;907;227,78
5.1.2014;21 - 22;2188;971;219,28
5.1.2014;22 - 23;1998;1069;214,88
5.1.2014;23 - 00;1866;1227;164,68
6.1.2014;00 - 01;1764;1394;103,22
6.1.2014;01 - 02;1778;1605;88,68
6.1.2014;02 - 03;1748;1904;73,47
6.1.2014;03 - 04;1744;2158;37,96
6.1.2014;04 - 05;1789;2369;29,68
6.1.2014;05 - 06;1954;2566;61,46
6.1.2014;06 - 07;2361;2673;98,53
6.1.2014;07 - 08;2943;2735;194,59
6.1.2014;08 - 09;3132;2775;206,6
6.1.2014;09 - 10;3122;2793;207,49
6.1.2014;10 - 11;3195;2773;194,37
6.1.2014;11 - 12;3180;2729;209,13
6.1.2014;12 - 13;3102;2669;209,58
6.1.2014;13 - 14;3059;2609;210,03
6.1.2014;14 - 15;3036;2572;209,88
6.1.2014;15 - 16;2964;2538;216,29
6.1.2014;16 - 17;3039;2489;225,17
6.1.2014;17 - 18;3266;2439;228,6
6.1.2014;18 - 19;3065;2404;225,39
6.1.2014;19 - 20;2861;2396;219,87
6.1.2014;20 - 21;2630;2418;216,29
6.1.2014;21 - 22;2466;2461;211,37
6.1.2014;22 - 23;2297;2512;194,07
6.1.2014;23 - 00;2084;2556;86,14
7.1.2014;00 - 01;1870;2431;69,07
7.1.2014;01 - 02;1851;2386;56,61
7.1.2014;02 - 03;1817;2366;0,52
7.1.2014;03 - 04;1819;2411;0,6
7.1.2014;04 - 05;1881;2494;15,29
7.1.2014;05 - 06;1993;2598;48,63
7.1.2014;06 - 07;2454;2681;194,46
7.1.2014;07 - 08;2966;2721;224,07
7.1.2014;08 - 09;3122;2719;230,11
7.1.2014;09 - 10;3071;2717;225,04
7.1.2014;10 - 11;3075;2743;223,7
7.1.2014;11 - 12;3065;2775;225,04
7.1.2014;12 - 13;2999;2813;222,5
7.1.2014;13 - 14;2981;2842;223,84
7.1.2014;14 - 15;2964;2844;224,14
7.1.2014;15 - 16;2919;2816;225,78
7.1.2014;16 - 17;2990;2778;228,69
7.1.2014;17 - 18;3196;2743;229,22
7.1.2014;18 - 19;3075;2711;226,98
7.1.2014;19 - 20;2845;2679;222,43
7.1.2014;20 - 21;2622;2651;219,22
7.1.2014;21 - 22;2455;2612;213,25
7.1.2014;22 - 23;2320;2550;209,9
7.1.2014;23 - 00;2073;2453;149,63
8.1.2014;00 - 01;1963;2547;164,18
8.1.2014;01 - 02;1891;2504;108,98
8.1.2014;02 - 03;1867;2471;94,51
8.1.2014;03 - 04;1841;2431;84,59
8.1.2014;04 - 05;1887;2370;84,81
8.1.2014;05 - 06;2074;2298;167,17
8.1.2014;06 - 07;2494;2263;218,79
8.1.2014;07 - 08;2994;2262;227,74
8.1.2014;08 - 09;3160;2263;230,87
8.1.2014;09 - 10;3096;2270;229,83
8.1.2014;10 - 11;3133;2289;227,74
8.1.2014;11 - 12;3103;2330;227,51
8.1.2014;12 - 13;3019;2356;224,75
8.1.2014;13 - 14;3012;2359;226,02
8.1.2014;14 - 15;3016;2388;227,29
8.1.2014;15 - 16;2945;2426;228,19
8.1.2014;16 - 17;3055;2451;230,72
8.1.2014;17 - 18;3280;2504;233,78
8.1.2014;18 - 19;3132;2549;230,05
8.1.2014;19 - 20;2898;2534;225,87
8.1.2014;20 - 21;2696;2485;221,7
8.1.2014;21 - 22;2494;2394;219,38
8.1.2014;22 - 23;2293;2261;215,65
8.1.2014;23 - 00;2086;2087;212,52
9.1.2014;00 - 01;1904;1661;202,76
9.1.2014;01 - 02;1860;1421;197,69
9.1.2014;02 - 03;1841;1204;185,23
9.1.2014;03 - 04;1853;1009;198,88
9.1.2014;04 - 05;1893;860;202,76
9.1.2014;05 - 06;2021;754;202,32
9.1.2014;06 - 07;2479;693;231,26
9.1.2014;07 - 08;3004;689;234,99
9.1.2014;08 - 09;3198;782;241,7
9.1.2014;09 - 10;3214;908;240,59
9.1.2014;10 - 11;3234;1052;241,03
9.1.2014;11 - 12;3235;1260;238,42
9.1.2014;12 - 13;3163;1489;226,78
9.1.2014;13 - 14;3175;1669;225,96
9.1.2014;14 - 15;3143;1847;222,76
9.1.2014;15 - 16;3061;1911;224,62
9.1.2014;16 - 17;3116;1876;228,05
9.1.2014;17 - 18;3325;1874;232,75
9.1.2014;18 - 19;3130;1825;228,2
9.1.2014;19 - 20;2907;1851;223,58
9.1.2014;20 - 21;2752;1992;218,5
9.1.2014;21 - 22;2583;2130;207,91
9.1.2014;22 - 23;2411;2293;147,48
9.1.2014;23 - 00;2190;2565;61,62
10.1.2014;00 - 01;2006;2595;61,92
10.1.2014;01 - 02;1930;2468;67,07
10.1.2014;02 - 03;1925;2351;57,74
10.1.2014;03 - 04;1920;2261;66,47
10.1.2014;04 - 05;1955;2157;61,4
10.1.2014;05 - 06;2125;2030;89,37
10.1.2014;06 - 07;2553;1940;213,96
10.1.2014;07 - 08;3037;1875;240,37
10.1.2014;08 - 09;3213;1806;239,7
10.1.2014;09 - 10;3153;1763;232,98
10.1.2014;10 - 11;3139;1772;229,77
10.1.2014;11 - 12;3091;1825;228,51
10.1.2014;12 - 13;2971;1871;225,07
10.1.2014;13 - 14;2896;1858;225,52
10.1.2014;14 - 15;2772;1849;228,13
10.1.2014;15 - 16;2712;1846;234,03
10.1.2014;16 - 17;2847;1829;238,5
10.1.2014;17 - 18;3099;1857;243,05
10.1.2014;18 - 19;2963;1917;238,73
10.1.2014;19 - 20;2694;1971;233,65
10.1.2014;20 - 21;2462;2008;229,92
10.1.2014;21 - 22;2292;2002;225,52
10.1.2014;22 - 23;2139;1954;222,69
10.1.2014;23 - 00;1956;1910;218,43
11.1.2014;00 - 01;1859;1698;218,01
11.1.2014;01 - 02;1769;1707;210,18
11.1.2014;02 - 03;1766;1755;203,01
11.1.2014;03 - 04;1728;1825;202,12
11.1.2014;04 - 05;1743;1880;199,66
11.1.2014;05 - 06;1789;1905;208,24
11.1.2014;06 - 07;1900;1826;208,98
11.1.2014;07 - 08;2119;1626;220,77
11.1.2014;08 - 09;2338;1446;223,61
11.1.2014;09 - 10;2442;1318;226,07
11.1.2014;10 - 11;2543;1246;228,46
11.1.2014;11 - 12;2583;1240;229,43
11.1.2014;12 - 13;2525;1337;228,23
11.1.2014;13 - 14;2397;1513;228,23
11.1.2014;14 - 15;2350;1694;226,59
11.1.2014;15 - 16;2348;1825;227,56
11.1.2014;16 - 17;2483;1918;229,65
11.1.2014;17 - 18;2781;2079;236,59
11.1.2014;18 - 19;2661;2238;230,84
11.1.2014;19 - 20;2436;2382;234,72
11.1.2014;20 - 21;2281;2538;218,38
11.1.2014;21 - 22;2196;2626;183,17
11.1.2014;22 - 23;2103;2668;118,85
11.1.2014;23 - 00;1949;2713;82,97
12.1.2014;00 - 01;1839;2928;13,51
12.1.2014;01 - 02;1721;2907;15,97
12.1.2014;02 - 03;1680;2891;0,3
12.1.2014;03 - 04;1673;2907;0,82
12.1.2014;04 - 05;1689;2970;50,59
12.1.2014;05 - 06;1736;3047;50,22
12.1.2014;06 - 07;1846;3071;6,72
12.1.2014;07 - 08;2006;3027;67
12.1.2014;08 - 09;2171;2909;87,82
12.1.2014;09 - 10;2292;2665;97,07
12.1.2014;10 - 11;2324;2380;100,58
12.1.2014;11 - 12;2327;2159;148,56
12.1.2014;12 - 13;2303;1933;159,75
12.1.2014;13 - 14;2295;1680;189,22
12.1.2014;14 - 15;2251;1388;195,86
12.1.2014;15 - 16;2300;1060;201,98
12.1.2014;16 - 17;2468;775;232,13
12.1.2014;17 - 18;2852;529;295,92
12.1.2014;18 - 19;2798;314;288,98
12.1.2014;19 - 20;2623;197;282,49
12.1.2014;20 - 21;2474;131;262,35
